Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"CCNL degli Enti e delle PMI esercenti la Formazione Professionale e Servizi al Lavoro";"Testo definitivo";"Enti e Istituzioni Private";"Confederazione AEPI (AISP; ANAP; ANCOT; ASSIDAL; ASS PRO COM; FEDERLIBERI; FENAPI; OBIETTIVO PUGLIA; PRIMA ASSOCIAZIONE; UCI; UNIONLIBERI); UNAPRI; ANIF; UNILAVORO PMI; FIRAS SPP; CIU; CSE; CSE FULSCAM; FLAI TS; Sindacato CLAS; SLE; UIC";"01/10/2021";"01/10/2021";"";"30/09/2024";"ENTI E PMI ESERCENTI LA FORMAZIONE PROFESSIONALE"
"Accordo di rinnovo del CCNL per le lavoratrici e i lavoratori delle cooperative, consorzi e società consortili operanti nel settore della pulizia e servizi integrati/multiservizi (cod. INPS 416)";"Accordo di rinnovo";"Aziende di Servizi";"SISTEMACOOP; SISTEMA IMPRESA; FESICA CONFSAL; CONFSAL";"20/10/2021";"20/10/2021";"";"31/12/2024";"PULIZIA: Cooperative (SISTEMACOOP-SCI-CONFSAL)"
"Accordo sulla classificazione del personale";"Verbale integrativo";"Meccanici";"FEDERMECCANICA; ASSISTAL; FIM CISL; FIOM CGIL; UILM UIL";"03/05/2021";"01/06/2021";"";"";"METALMECCANICA: Industrie"
"CCNL per i dipendenti delle aziende e studi di amministrazione condominiale e/o di servizi integrati alla proprietà immobiliare";"Testo definitivo";"Commercio";"CNL; Federazione Nazionale Amministratori Condomini CNL; FILD CONFSAL; FILD CIU";"01/10/2021";"01/10/2021";"";"30/09/2024";"AZIENDE E STUDI DI AMMINISTRAZIONE CONDOMINIALE E/O SERVIZI INTEGRATI ALLA PROPRIETA' IMMOBILIARE (CNL)"
"CCNL Logistica, Trasporto Merci e Spedizione";"Testo definitivo";"Trasporti";"CNL; Federazione Nazionale Autotrasportatori CNL; FILD CONFSAL; FILD CIU";"01/10/2021";"01/10/2021";"";"30/09/2024";"LOGISTICA, TRASPORTO MERCI E SPEDIZIONE (CNL)"
"CCNL per i dipendenti da enti, aziende e associazioni del settore olistico";"Testo definitivo";"Altri Vari";"CNL; Federazione Nazionale Discipline Olistiche CNL; FILD CONFSAL; FILD CIU";"01/10/2021";"01/10/2021";"";"30/09/2024";"SETTORE OLISTICO (CNL)"
"CCNL per i dipendenti delle Associazioni ed altre Organizzazioni del Terzo Settore";"Testo definitivo";"Enti e Istituzioni Private";"CNL; Federazione Nazionale Terzo Settore CNL; Federazione Nazionale per il Sociale CNL; FILD CONFSAL; FILD CIU";"01/10/2021";"01/10/2021";"";"30/09/2024";"ASSOCIAZIONI ED ALTRE ORGANIZZAZIONI DEL TERZO SETTORE (CNL)"
"CCNL per il personale dipendente da imprese di pulizia e servizi integrati multiservizi";"Testo definitivo";"Aziende di Servizi";"CNL; FILD CONFSAL; FILD CIU";"01/10/2021";"01/10/2021";"";"30/09/2024";"PULIZIA: Imprese di pulizia e servizi integrati/multiservizi (CNL)"
"CCNL per la disciplina dell'attività di consegna di beni per conto altrui, svolta da lavoratori autonomi, c.d. Rider";"Testo definitivo";"Altri Vari";"CNL; FILD CONFSAL; FILD CIU";"01/10/2021";"01/10/2021";"";"30/09/2024";"RIDER (CNL)"
"CCNL settori Formazione, Istruzione, Formazione Professionale, Asili nido";"Testo definitivo";"Enti e Istituzioni Private";"CNL; Federazione Nazionale Suola Privata CNL; FILD CONFSAL; FILD CIU";"01/10/2021";"01/10/2021";"";"30/09/2024";"FORMAZIONE, ISTRUZIONE, FORMAZIONE PROFESSIONALE, ASILI NIDO (CNL)"
"CCNL Settore Lavoro Domestico";"Testo definitivo";"Commercio";"UNIONE; FDP ITALIA; CONFLAP";"10/11/2021";"01/11/2021";"";"01/11/2024";"LAVORO DOMESTICO (FDP ITALIA-UNIONE)"
"Verbale di interpretazione autentica - CCNL per il personale dipendente da Croce Rossa Italiana, enti del terzo settore, organizzazioni di volontariato, fondazioni";"Verbale integrativo";"Enti e Istituzioni Private";"CROCE ROSSA ITALIANA; FP CGIL; CISL FP; UIL FPL";"12/10/2021";"";"";"";"CROCE ROSSA ITALIANA E ALTRE REALTA' DEL TERZO SETTORE"
"Accordo integrativo relativo alla disciplina delle indennità di cui all'art. 65 CCNL e dell'indennità di missione/trasferta di cui all'art. 62 - CCNL per il personale dipendente da Croce Rossa Italiana, enti del terzo settore, organizzazioni di volontariato, fondazioni";"Verbale integrativo";"Enti e Istituzioni Private";"CROCE ROSSA ITALIANA; FP CGIL; CISL FP; UIL FPL";"15/10/2021";"";"";"";"CROCE ROSSA ITALIANA E ALTRE REALTA' DEL TERZO SETTORE"
"Accordo di proroga, con modificazioni, del CCNL per i dirigenti delle agenzie marittime raccomandatarie, agenzie aeree e mediatori marittimi";"Verbale integrativo";"Trasporti";"FEDERAGENTI; MANAGERITALIA";"13/09/2021";"01/01/2020";"";"31/12/2021";"AGENZIE MARITTIME E AEREE E MEDIATORI MARITTIMI: Dirigenti"
"CCNL settore dei trasporti, spedizione merci, logistica ed attività affine e/o ausiliarie";"Testo definitivo";"Trasporti";"UNIONE; FDP ITALIA; CONFLAP";"15/11/2021";"01/11/2021";"";"01/11/2024";"TRASPORTI, SPEDIZIONE MERCI, LOGISTICA (FDP ITALIA-UNIONE)"
"CCNL Settore Agricolo";"Testo definitivo";"Agricoltura";"UNIONE; FDP ITALIA; CONFLAP";"22/11/2021";"01/11/2021";"";"01/11/2024";"SETTORE AGRICOLO (FPD ITALIA-UNIONE)"
"Contratto collettivo nazionale di lavoro per i dipendenti degli enti previdenziali privati 2019-2021";"Testo definitivo";"Enti e Istituzioni Private";"ADEPP; CGIL FP; CISL FP; UIL PA; CISAL FIALP; UGL Terziario; USB LAVORO PRIVATO; CONFSAL UNSA; DIRPUBBLICA; CIDA SINDEPP; FP CIDA; sottoscritto per adesione il 21/01/2021 da FLP";"15/01/2020";"01/01/2019";"";"31/12/2021";"ENTI PREVIDENZIALI PRIVATIZZATI"
"CCNL Settore Edile";"Testo definitivo";"Edilizia";"UNIONE; FDP ITALIA; CONFLAP";"30/11/2021";"01/11/2021";"";"01/11/2024";"Settore EDILE (FDP ITALIA-UNIONE)"
"CCNL per i dirigenti, quadri, impiegati ed operai dipendenti dei Servizi Ausiliari Integrati alle persone, alle collettività e alle aziende";"Testo definitivo";"Altri Vari";"ANPIT; CIDEC; CONFIMPRENDITORI; UNICA; CISAL Terziario; CISAL";"29/10/2021";"01/11/2021";"";"31/10/2024";"SERVIZI AUSILIARI alle Collettività, alle Aziende e alle Persone"
"Ipotesi di Accordo per il rinnovo del CCNL per dipendenti da imprese di pulizia, di disinfestazione e servizi integrati/multiservizi";"Accordo di rinnovo";"Aziende di Servizi";"FNIP CONFCOMMERCIO; FILCAMS CGIL; FISASCAT CISL; UILTRASPORTI UIL";"26/11/2021";"26/11/2021";"";"31/12/2024";"PULIZIA: Imprese (Confcommercio)"
"Accordo di rinnovo della parte economica del CCNL per le lavoratrici e i lavoratori delle cooperative del settore socio-sanitario, umanitario, assistenziale-educativo e di inserimento lavorativo";"Accordo economico";"Enti e Istituzioni Private";"UNICOOP; UGL Sanità";"23/07/2020";"01/12/2019";"";"31/12/2020";"COOPERATIVE SETTORE SOCIO-SANITARIO, UMANITARIO, ASSISTENZIALE-EDUCATIVO E DI INSERIMENTO LAVORATIVO (UNICOOP-UGL)"
"Ipotesi si accordo per il rinnovo del CCNL Area Alimentazione-Panificazione";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"CNA Agroalimentare; CONFARTIGIANATO Alimentazione; CASARTIGIANI; CLAAI; FLAI CGIL; FAI CISL; UILA UIL";"06/12/2021";"01/01/2019";"";"31/12/2022";"ALIMENTARISTI: Artigiane"
"CCNL per i dipendenti del Settore Agricolo e Florovivaisti";"Testo definitivo";"Agricoltura";"FIDAP IMPRESE; FISAL ITALIA";"24/11/2021";"01/01/2022";"";"31/12/2025";"AGRICOLTURA: Settore Agricolo e Florovivaisti (FIDAP IMPRESE - FISAL ITALIA)"
"CCNL unico per i dipendenti del Settore Artigiano ad esclusione del Settore Edile";"Testo definitivo";"Altri Vari";"FIDAP IMPRESE; FISAL ITALIA";"22/11/2021";"01/01/2022";"";"31/12/2025";"Dipendenti del Settore ARTIGIANATO ad esclusione del Settore Edile (FIDAP IMPRESE - FISAL ITALIA)"
"CCNL per i dipendenti dell'Industria ad esclusione del settore edile";"Testo definitivo";"Altri Vari";"FIDAP IMPRESE; FISAL ITALIA";"22/11/2021";"01/01/2022";"";"31/12/2025";"INDUSTRIA (FIDAP IMPRESE - FISAL ITALIA)"
"CCNL unico per i dipendenti dell'Edilizia settore Industria e Artigianato";"Testo definitivo";"Edilizia";"FIDAP IMPRESE; FISAL ITALIA";"25/11/2021";"01/01/2022";"";"31/12/2025";"EDILI: aziende dell'Industria e dell'Artigianato (FIDAP IMPRESE - FISAL ITALIA)"
"CCNL per i dipendenti del settore Lavoro Domestico";"Testo definitivo";"Commercio";"FIDAP IMPRESE; FISAL ITALIA";"23/11/2021";"01/01/2022";"";"31/12/2025";"LAVORO DOMESTICO (FIDAP IMPRESE - FISAL ITALIA)"
"CCNL per i dipendenti del Terziario: Commercio, Distribuzione e Servizi";"Testo definitivo";"Commercio";"FIDAP IMPRESE; FISAL ITALIA";"23/11/2021";"01/01/2022";"";"31/12/2025";"DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI (FIDAP IMPRESE - FISAL ITALIA)"
"CCNL per i dipendenti del settore Turismo e Pubblici Esercizi";"Testo definitivo";"Commercio";"FIDAP IMPRESE; FISAL ITALIA";"24/11/2021";"01/01/2022";"";"31/12/2025";"TURISMO E PUBBLICI ESERCIZI (FIDAP IMPRESE - FISAL ITALIA)"
"CCNL per attività Sport e Salute, Impianti Sportivi, Fitness, Palestre e Piscine";"Testo definitivo";"Commercio";"FMPI; CONFASI";"13/12/2021";"13/12/2021";"";"13/12/2024";"SPORT E SALUTE, IMPIANTI SPORTIVI, FITNESS, PALESTRE E PISCINE (FMPI-CONFASI)"
"Accordo Nazionale di secondo livello Settore Marketing Operativo - Proroga del termine di cui all'Accordo 30 giugno 2021";"Verbale integrativo";"Commercio";"ANASFIM CONFESERCENTI; CONFESERCENTI; FISASCAT CISL; UILTUCS UIL";"15/12/2021";"";"";"";"TERZIARIO, DISTRIBUZIONE E SERVIZI (CONFESERCENTI)"
"Verbale di accordo integrativo del CCNL per il settore Concia Pelli e Cuoio stipulato il 31 agosto 2021";"Verbale integrativo";"Chimici";"FEDERCONCIA Italia; UNSIC; FEDERDAT; CONFIAL; FISMIC CONFSAL; FLAITS";"06/12/2021";"01/09/2021";"";"31/08/2024";"CONCIA PELLI E CUOIO"
"Verbale di accordo per il rinnovo del CCNL per gli imbarcati su natanti di cooperative di pesca";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"AGCI AGRITAL; CONFCOOPERATIVE FEDAGRIPESCA; LEGACOOP AGROALIMENTARE; FAI CISL; FLAI CGIL; UILAPESCA";"15/12/2021";"01/01/2021";"";"31/12/2024";"PESCA MARITTIMA: Cooperative"
"CCNL per i dipendenti da agenti immobiliari professionali e da mandatari a titolo oneroso";"Testo definitivo";"Commercio";"FIAIP; FILCAMS CGIL; FISASCAT CISL; UILTUCS UIL";"07/06/2021";"07/06/2021";"";"31/12/2023";"AGENTI IMMOBILIARI PROFESSIONALI E MANDATARI"
"CCNL per i lavoratori dell'industria alimentare 31 luglio 2020";"Testo definitivo";"Alimentaristi - Agroindustriale";"ANCIT; ANICAV; ASSICA; ASSITOL; ASSOBIBE; ASSOBIRRA; ASSOLATTE; FEDERVINI; MINERACQUA; UNAITALIA; UNIONFOOD; FAI CISL; FLAI CGIL; UILA UIL";"31/07/2020";"01/12/2019";"";"30/11/2023";"ALIMENTARISTI: Industrie"
"Ipotesi di accordo per il rinnovo del CCNL per gli addetti del settore orafo argentiero e della gioielleria";"Accordo di rinnovo";"Meccanici";"CONFINDUSTRIA FEDERORAFI; FIM CISL; FIOM CGIL; UILM UIL";"23/12/2021";"23/12/2021";"";"31/12/2024";"ORAFI, ARGENTIERI: Industrie"
"Accordo per il rinnovo del CCNL per gli addetti ai lavori di sistemazione idraulico-forestale e idraulico-agraria scaduto il 31 dicembre 2012";"Accordo di rinnovo";"Agricoltura";"AGCI AGRITAL; AMMINISTRAZIONI PUBBLICHE; CONFCOOPERATIVE FEDAGRIPESCA; CONFCOOPERATIVE LAVORO E SERVIZI; FEDERFORESTE; LEGACOOP AGROALIMENTARE; FAI CISL; FLAI CGIL; UILA UIL";"09/12/2021";"01/01/2021";"";"31/12/2024";"SISTEMAZIONI IDRAULICO FORESTALI"
"CCNL per i lavoratori addetti all'industria metalmeccanica privata e alla installazione di impianti";"Testo definitivo";"Meccanici";"FDP ITALIA; UNIONE; CONFLAP";"26/01/2022";"01/02/2022";"";"01/02/2025";"METALMECCANICA: Industria (FDP ITALIA-UNIONE)"
"CCNL per i dipendenti da aziende dei settori Pubblici Esercizi, Ristorazione Collettiva e Commerciale e Turismo";"Accordo di rinnovo";"Commercio";"FIPE CONFCOMMERCIO; UGL TERZIARIO";"01/03/2018";"01/01/2018";"";"31/12/2021";"PUBBLICI ESERCIZI, RISTORAZIONE COLLETTIVA E COMMERCIALE E TURISMO"
"Accordo di rinnovo CCNL Terziario, Distribuzione e Servizi";"Accordo di rinnovo";"Commercio";"CONFCOMMERCIO IMPRESE PER L'ITALIA; UGL TERZIARIO";"31/10/2017";"01/04/2015";"";"31/07/2018";"COMMERCIO E SERVIZI"
"Verbale di Accordo per il rinnovo del CCNL Legno, Sughero, Mobile ed Arredamento e Boschivi e Forestali";"Accordo di rinnovo";"Edilizia";"FEDERLEGNOARREDO; UGL COSTRUZIONI";"16/11/2020";"01/04/2019";"";"31/12/2022";"LEGNO, ARREDAMENTO: Industrie"
"CCNL MODA - Pelletteria, Calzaturiero, Tessile e Abbigliamento";"Testo definitivo";"Tessili";"CONFLAVORO PMI; FESICA CONFSAL; CONFSAL";"24/01/2022";"01/02/2022";"";"31/01/2026";"MODA - Pelletteria, Calzaturiero, Tessile e Abbigliamento (CONFLAVORO PMI - CONFSAL)"
"CCNL della Mobilità / Area contrattuale Attività Ferroviarie - Verbale di accordo per la copertura economica del triennio 2018-2020";"Accordo economico";"Trasporti";"AGENS; FILT CGIL; FIT CISL; UILTRASPORTI; UGL FERROVIERI; FAST CONFSAL; ORSA FERROVIE; ANCP (per adesione)";"18/02/2021";"01/01/2018";"";"31/12/2020";"FERROVIE: Attivita' ferroviarie"
"Verbale di Accordo CCNL Autoferrotranvieri per la copertura una tantum del periodo 2018-2020";"Accordo economico";"Trasporti";"ASSTRA; ANAV; AGENS; FILT CGIL; FIT CISL; UILTRASPORTI; FAISA CISAL; UGL FNA";"24/06/2021";"01/01/2018";"";"31/12/2020";"AUTOFERROTRANVIERI"
"CCNL del TRASPORTO AEREO - Parte specifica GESTORI AEROPORTUALI";"Accordo di rinnovo";"Trasporti";"ASSAEROPORTI; FILT CGIL; FIT CISL; UILTRASPORTI; UGL TRASPORTO AEREO";"17/01/2020";"01/01/2020";"";"31/12/2022";"AEREI: Trasporto Aereo"
"CCNL per il Settore SORVEGLIANZA ANTINCENDIO";"Testo definitivo";"Trasporti";"ANISA; CONFSAL; CONFSAL VIGILI DEL FUOCO";"10/02/2022";"10/02/2022";"";"09/02/2025";"SORVEGLIANZA ANTINCENDIO"
"Ipotesi di accordo per il rinnovo del CCNL 16/11/2016 per gli addetti all'industria delle piastrelle di ceramica, dei materiali refrattari, ceramica sanitaria, di porcellane e ceramiche per uso domestico e ornamentale, di ceramica tecnica, di tubi in gres";"Accordo di rinnovo";"Chimici";"CONFINDUSTRIA CERAMICA; UGL CHIMICI; FIALC CISAL; FAILC CONFAIL; FESICA CONFSAL";"26/11/2020";"01/01/2020";"";"30/06/2023";"PIASTRELLE E REFRATTARI: Industrie"
"Ipotesi di accordo per il rinnovo del CCNL per le imprese ed i lavoratori del settore Tessile-Abbigliamento-Moda";"Accordo di rinnovo";"Tessili";"SMI; CONFINDUSTRIA MODA; UGL CHIMICI E TESSILI";"28/07/2021";"01/04/2020";"";"31/03/2024";"TESSILI ABBIGLIAMENTO: Industrie"
"Ipotesi di accordo di rinnovo del CCNL per i lavoratori addetti all'industria delle calzature";"Accordo di rinnovo";"Tessili";"ASSOCALZATURIFICI; FEMCA CISL; FILCTEM CGIL; UILTEC UIL";"21/06/2021";"01/01/2020";"";"31/12/2023";"CALZATURE: Industrie"
"Protocollo di adesione al CCNL per gli addetti all'industria Chimica settore Coibentazioni Termiche Acustiche";"Accordo di rinnovo";"Chimici";"ANICTA; UGL CHIMICI";"30/09/2020";"01/01/2020";"";"30/06/2022";"COIBENTAZIONI TERMICHE ACUSTICHE"
"Protocollo di sottoscrizione dell'accordo di rinnovo del 5 gennaio 2021 del CCNL imprese del sistema industriale integrato di servizi tessili e medici affini";"Accordo di rinnovo";"Tessili";"ASSOSISTEMA CONFINDUSTRIA; UGL CHIMICI/TESSILI";"13/01/2021";"01/04/2019";"";"31/12/2022";"LAVANDERIE, TINTORIE ... : Industrie"
"Ipotesi di Accordo per il rinnovo del CCNL Grafici Editori";"Accordo di rinnovo";"Poligrafici e Spettacolo";"ASSOGRAFICI; AIE; ANES; UGL CHIMICI CARTA STAMPA";"19/01/2021";"01/01/2021";"";"31/12/2022";"EDITORIA E GRAFICA: Industrie"
"Ipotesi di Accordo per il rinnovo del CCNL Attività Minerarie";"Accordo di rinnovo";"Chimici";"ASSOMINERARIA; UGL CHIMICI";"11/04/2019";"01/04/2019";"";"31/03/2022";"MINERO-METALLURGICHE: Industrie"
"Ipotesi di Accordo per il rinnovo del CCNL per i dipendenti della Piccola e Media Industria MODA - CHIMICA CERAMICA - DECORAZIONE PIASTRELLE IN TERZO FUOCO";"Accordo di rinnovo";"Altri Vari";"CNA Federmoda; CNA Produzione; CNA Artistico e Tradizionale; CONFARTIGIANATO Moda; CONFARTIGIANATO Chimica; CASARTIGIANI; CLAAI; FILCTEM CGIL; FEMCA CISL; UILTEC UIL";"17/02/2022";"01/01/2019";"";"31/12/2022";"MODA, CHIMICA CERAMICA E DECORAZIONE PIASTRELLE IN 3° FUOCO (PMI)"
"CCNL per i dipendenti da proprietari di fabbricati";"Testo definitivo";"Commercio";"CONFEDILIZIA; FILCAMS CGIL; FISASCAT CISL; UILTUCS UIL";"26/11/2019";"01/01/2020";"";"31/12/2022";"PROPRIETARI FABBRICATI (Dipendenti)"
"CCNL per i dipendenti da proprietari di fabbricati - aggiornamento retribuzioni anno 2022";"Accordo economico";"Commercio";"CONFEDILIZIA; FILCAMS CGIL; FISASCAT CISL; UILTUCS UIL";"24/01/2022";"01/01/2022";"";"31/12/2022";"PROPRIETARI FABBRICATI (Dipendenti)"
"Ipotesi di Accordo per il rinnovo del CCNL Attività Minerarie";"Accordo di rinnovo";"Chimici";"ASSOMINERARIA; FILCTEM CGIL; FEMCA CISL; UILTEC UIL";"11/04/2019";"01/04/2019";"";"31/03/2022";"MINERO-METALLURGICHE: Industrie"
"Verbale di Accordo per il rinnovo del CCNL 18 luglio 2018 per i lavoratori dipendenti delle imprese edili ed affini e delle Cooperative";"Accordo di rinnovo";"Edilizia";"ANCE; LEGACOOP Produzione e Servizi; CONFCOOPERATIVE Lavoro e Servizi; AGCI Produzione e Lavoro; FENEAL UIL; FILCA CISL; FILLEA CGIL";"03/03/2022";"01/03/2022";"";"30/06/2024";"EDILI: Industrie e Cooperative"
"Accordo di rinnovo del CCNL per i dipendenti di Centri Elaborazione Dati (CED), imprese ICT, professioni digitali e STP";"Accordo di rinnovo";"Commercio";"ASSOCED; LAIT; CONFTERZIARIO; UGL TERZIARIO; UGL";"09/03/2022";"01/04/2022";"";"31/03/2025";"CENTRI DI ELABORAZIONE DATI"
"CCNL per i dipendenti di Centri Elaborazione Dati (CED), imprese ICT, professioni digitali e STP";"Testo definitivo";"Commercio";"ASSOCED; LAIT; CONFTERZIARIO; UGL TERZIARIO; UGL";"13/12/2018";"01/01/2019";"";"31/12/2021";"CENTRI DI ELABORAZIONE DATI"
"CCNL Aziende del Terzo Settore";"Testo definitivo";"Enti e Istituzioni Private";"CONFINTESA; I CONSUMATORI; KONSUMER ITALIA; AECI; ASSOCONFAM; CASA DEI DIRITTI";"21/03/2022";"21/03/2022";"";"31/01/2025";"AZIENDE DEL TERZO SETTORE"
"CCNL per i dipendenti delle aziende del settore Turismo, dei Pubblici Esercizi e della Ristorazione";"Testo definitivo";"Commercio";"FEDERTERZIARIO; FEDERTERZIARIO TURISMO; UGL TERZIARIO; UGL; ANCL";"16/03/2022";"16/03/2022";"";"31/12/2025";"TURISMO (FEDERTERZIARIO)"
"Ipotesi di Accordo di rinnovo del CCNL applicabile alla piccola e media industria metalmeccanica, orafa e dell'installazione di impianti";"Accordo di rinnovo";"Meccanici";"CONFIMI IMPRESA MECCANICA; FIM CISL; UILM UIL";"07/06/2021";"01/06/2021";"";"30/06/2023";"METALMECCANICA: P.M.I. - CONFIMI"
"CCNL per i dipendenti del comparto privato sanitario e sociosanitario";"Testo definitivo";"Enti e Istituzioni Private";"CONFIMPRESE ITALIA; FESICA CONFSAL; CONFSAL";"16/03/2022";"01/02/2022";"";"31/01/2025";"COMPARTO PRIVATO SANITARIO E SOCIOSANITARIO"
"Protocollo d'intesa per la correzione di errore materiale - Art. 113 e tabelle retributive di cui all'articolo 134 del CCNL 26.11.2019 per i dipendenti da proprietari di fabbricati";"Verbale integrativo";"Commercio";"CONFEDILIZIA; FILCAMS CGIL; FISASCAT CISL; UILTUCS UIL";"31/03/2022";"";"";"";"PROPRIETARI FABBRICATI (Dipendenti)"
"Accordo collettivo per la disciplina delle collaborazioni nelle attività di vendita di beni e servizi e di recupero crediti realizzati attraverso call center "outbound", stipulato con riferimento al CCNL TLC";"Verbale integrativo";"Aziende di Servizi";"ASSOTELECOMUNICAZIONI ASSTEL; ASSOCONTACT; SLC CGIL; FISTEL CISL; UILCOM UIL";"31/07/2017";"";"";"";"TELECOMUNICAZIONI"
"Accordo Collettivo Nazionale per la regolamentazione delle Collaborazioni esclusivamente personali nel settore delle ricerche di mercato";"Testo definitivo";"Altri Vari";"ASSIRM CONFINDUSTRIA INTELLECT; FELSA CISL; NIDIL CGIL; UILTEMP";"24/07/2017";"01/07/2017";"";"31/12/2019";"COLLABORAZIONI esclusivamente personali nel settore delle ricerche di mercato"
"CCNL per i Generici dipendenti operanti sui set di ripresa cineaudiovisiva";"Accordo di rinnovo";"Poligrafici e Spettacolo";"ANICA; APA; APE; SLC CGIL; FISTEL CISL; UILCOM UIL";"13/04/2022";"01/01/2022";"";"31/12/2024";"CINEMA: Generici Produzione A.V."
"1° CCNL del personale non dirigente del Coni";"Testo definitivo";"Amministrazione Pubblica";"CONI; CISL FP; FP CGIL; UIL PA; CISAL FIALP; USB PI; UGL";"13/04/2022";"01/01/2022";"";"31/12/2024";"CONI"
"1° CCNL dei dirigenti e dei quadri del Coni";"Testo definitivo";"Amministrazione Pubblica";"CONI; CISL FP; FP CGIL; UIL PA; CISAL FIALP; UGL";"13/04/2022";"01/01/2022";"";"31/12/2024";"CONI: Dirigenti"
"Ipotesi di accordo di rinnovo del CCNL Area Legno-Lapidei";"Accordo di rinnovo";"Edilizia";"CNA Produzione; CNA Costruzioni; CONFARTIGIANATO Legno e Arredo; CONFARTIGIANATO Marmisti; CASARTIGIANI; CLAAI; FENEAL UIL; FILCA CISL; FILLEA CGIL";"03/05/2022";"01/01/2019";"";"31/12/2022";"Area LEGNO LAPIDEI: Artigiane"
"CCNL per i dipendenti delle aziende operanti nel settore outsourcing-insourcing, attività intra processo, supply chain industria e servizi";"Testo definitivo";"Trasporti";"FEDERTERZIARIO; FEDERTERZIARIO LOGISTICA E TRASPORTI; SLSM UGL; ANCL";"29/04/2022";"01/05/2022";"";"31/12/2025";"OUTSOURCING - INSOURCING, ATTIVITA' INTRA PROCESSO, SUPPLY CHAIN INDUSTRIA E SERVIZI"
